Position,Artist,Album,Votes,%,Days Left,Time
1,KANG DANIEL,MAGENTA,1342.124,8.98,-12.458333333333336,2021-01-12 04:22:51.283230
2,Stray Kids,GO生,1106.522,7.41,-12.458333333333336,2021-01-12 04:22:51.283230
3,NCT 127,NCT #127 Neo Zone,1037.159,6.94,-12.458333333333336,2021-01-12 04:22:51.283230
4,HA SUNG WOON,Twilight Zone,940.672,6.3,-12.458333333333336,2021-01-12 04:22:51.283230
5,ATEEZ,ZERO : FEVER Part.1,872.082,5.84,-12.458333333333336,2021-01-12 04:22:51.283230
6,TOMORROW X TOGETHER,MINISODE 1 : BLUE HOUR,858.52,5.75,-12.458333333333336,2021-01-12 04:22:51.283230
7,NCT DREAM,RELOAD,813.085,5.44,-12.458333333333336,2021-01-12 04:22:51.283230
8,DREAMCATCHER,Dystopia : The Tree of Language,720.059,4.82,-12.458333333333336,2021-01-12 04:22:51.283230
9,MONSTA X,FANTASIA X,639.499,4.28,-12.458333333333336,2021-01-12 04:22:51.283230
10,SUPER JUNIOR-D&E,BAD BLOOD,617.331,4.13,-12.458333333333336,2021-01-12 04:22:51.283230
11,GOT7,DYE,610.215,4.09,-12.458333333333336,2021-01-12 04:22:51.283230
12,BLACKPINK,How You Like That,584.644,3.91,-12.458333333333336,2021-01-12 04:22:51.283230
13,SEVENTEEN,헹가래,573.664,3.84,-12.458333333333336,2021-01-12 04:22:51.283230
14,TWICE,MORE & MORE,561.257,3.76,-12.458333333333336,2021-01-12 04:22:51.283230
15,BTS,MAP OF THE SOUL : 7,507.874,3.4,-12.458333333333336,2021-01-12 04:22:51.283230
16,BAEKHYUN,Delight,380.591,2.55,-12.458333333333336,2021-01-12 04:22:51.283230
17,GFRIEND,回:LABYRINTH,356.477,2.39,-12.458333333333336,2021-01-12 04:22:51.283230
18,NU'EST,The Nocturne,353.897,2.37,-12.458333333333336,2021-01-12 04:22:51.283230
19,SF9,9loryUS,312.682,2.09,-12.458333333333336,2021-01-12 04:22:51.283230
20,VICTON,Mayday,312.552,2.09,-12.458333333333336,2021-01-12 04:22:51.283230
21,AB6IX,VIVID,271.456,1.82,-12.458333333333336,2021-01-12 04:22:51.283230
22,ASTRO,GATEWAY,211.517,1.42,-12.458333333333336,2021-01-12 04:22:51.283230
23,IZ*ONE,BLOOM*IZ,186.907,1.25,-12.458333333333336,2021-01-12 04:22:51.283230
24,MAMAMOO,딩가딩가 (Dingga),130.57,0.87,-12.458333333333336,2021-01-12 04:22:51.283230
25,PARK JI HOON,The W,125.511,0.84,-12.458333333333336,2021-01-12 04:22:51.283230
26,TAEMIN,Never Gonna Dance Again : Act 1,91.18,0.61,-12.458333333333336,2021-01-12 04:22:51.283230
27,(G)I-DLE,덤디덤디 (DUMDi DUMDi),68.807,0.46,-12.458333333333336,2021-01-12 04:22:51.283230
28,Hwa Sa,María,53.606,0.36,-12.458333333333336,2021-01-12 04:22:51.283230
29,THE BOYZ,CHASE,49.94600000000001,0.33,-12.458333333333336,2021-01-12 04:22:51.283230
30,NCT,NCT RESONANCE Part 1,48.94300000000001,0.33,-12.458333333333336,2021-01-12 04:22:51.283230
31,CIX,"Hello, Strange Time",34.795,0.23,-12.458333333333336,2021-01-12 04:22:51.283230
32,SUPER JUNIOR-K.R.Y.,푸르게 빛나던 우리의 계절 (When We Were Us),33.645,0.23,-12.458333333333336,2021-01-12 04:22:51.283230
33,OH MY GIRL,NONSTOP,29.882,0.2,-12.458333333333336,2021-01-12 04:22:51.283230
34,LOONA,[#],27.619,0.18,-12.458333333333336,2021-01-12 04:22:51.283230
35,ITZY,IT'z ME,16.538,0.11,-12.458333333333336,2021-01-12 04:22:51.283230
36,EXO,EXO PLANET #5 –EXplOration– Live Album,12.906,0.09,-12.458333333333336,2021-01-12 04:22:51.283230
37,APRIL,Da Capo,11.237,0.08,-12.458333333333336,2021-01-12 04:22:51.283230
38,Apink,LOOK,8.673,0.06,-12.458333333333336,2021-01-12 04:22:51.283230
39,PENTAGON,WE:TH,7.62,0.05,-12.458333333333336,2021-01-12 04:22:51.283230
40,DAY6,The Book of Us : The Demon,5.3439999999999985,0.04,-12.458333333333336,2021-01-12 04:22:51.283230
41,IU,에잇,3.865,0.03,-12.458333333333336,2021-01-12 04:22:51.283230
42,TAEYEON,Happy,2.58,0.02,-12.458333333333336,2021-01-12 04:22:51.283230
43,CHUNG HA,PLAY,1.356,0.01,-12.458333333333336,2021-01-12 04:22:51.283230
44,ZICO,아무노래,0.933,0.01,-12.458333333333336,2021-01-12 04:22:51.283230
45,Paul Kim,"마음, 둘",0.6609999999999999,0.0,-12.458333333333336,2021-01-12 04:22:51.283230
46,SUNMI,보라빛 밤 (pporappippam),0.257,0.0,-12.458333333333336,2021-01-12 04:22:51.283230
47,BaeK Z Young,거짓말이라도 해서 널 보고싶어,0.213,0.0,-12.458333333333336,2021-01-12 04:22:51.283230
48,Jessi,NUNA,0.199,0.0,-12.458333333333336,2021-01-12 04:22:51.283230
49,BOL4,사춘기집Ⅱ 꽃 본 나비,0.08900000000000001,0.0,-12.458333333333336,2021-01-12 04:22:51.283230
50,PARK JIN YOUNG,When We Disco,0.043,0.0,-12.458333333333336,2021-01-12 04:22:51.283230
1,KANG DANIEL,MAGENTA,1343.378,8.98,-12.416666666666664,2021-01-12 05:20:26.017970
2,Stray Kids,GO生,1110.46,7.42,-12.416666666666664,2021-01-12 05:20:26.017970
3,NCT 127,NCT #127 Neo Zone,1038.578,6.94,-12.416666666666664,2021-01-12 05:20:26.017970
4,HA SUNG WOON,Twilight Zone,941.247,6.29,-12.416666666666664,2021-01-12 05:20:26.017970
5,ATEEZ,ZERO : FEVER Part.1,874.6289999999997,5.85,-12.416666666666664,2021-01-12 05:20:26.017970
6,TOMORROW X TOGETHER,MINISODE 1 : BLUE HOUR,860.512,5.75,-12.416666666666664,2021-01-12 05:20:26.017970
7,NCT DREAM,RELOAD,815.13,5.45,-12.416666666666664,2021-01-12 05:20:26.017970
8,DREAMCATCHER,Dystopia : The Tree of Language,720.791,4.82,-12.416666666666664,2021-01-12 05:20:26.017970
9,MONSTA X,FANTASIA X,640.798,4.28,-12.416666666666664,2021-01-12 05:20:26.017970
10,SUPER JUNIOR-D&E,BAD BLOOD,618.605,4.13,-12.416666666666664,2021-01-12 05:20:26.017970
11,GOT7,DYE,611.569,4.09,-12.416666666666664,2021-01-12 05:20:26.017970
12,BLACKPINK,How You Like That,585.344,3.91,-12.416666666666664,2021-01-12 05:20:26.017970
13,SEVENTEEN,헹가래,574.94,3.84,-12.416666666666664,2021-01-12 05:20:26.017970
14,TWICE,MORE & MORE,562.346,3.76,-12.416666666666664,2021-01-12 05:20:26.017970
15,BTS,MAP OF THE SOUL : 7,508.228,3.4,-12.416666666666664,2021-01-12 05:20:26.017970
16,BAEKHYUN,Delight,380.88699999999994,2.55,-12.416666666666664,2021-01-12 05:20:26.017970
17,GFRIEND,回:LABYRINTH,356.591,2.38,-12.416666666666664,2021-01-12 05:20:26.017970
18,NU'EST,The Nocturne,354.004,2.37,-12.416666666666664,2021-01-12 05:20:26.017970
19,SF9,9loryUS,312.793,2.09,-12.416666666666664,2021-01-12 05:20:26.017970
20,VICTON,Mayday,312.719,2.09,-12.416666666666664,2021-01-12 05:20:26.017970
21,AB6IX,VIVID,271.658,1.82,-12.416666666666664,2021-01-12 05:20:26.017970
22,ASTRO,GATEWAY,211.628,1.41,-12.416666666666664,2021-01-12 05:20:26.017970
23,IZ*ONE,BLOOM*IZ,187.09799999999998,1.25,-12.416666666666664,2021-01-12 05:20:26.017970
24,MAMAMOO,딩가딩가 (Dingga),130.599,0.87,-12.416666666666664,2021-01-12 05:20:26.017970
25,PARK JI HOON,The W,125.561,0.84,-12.416666666666664,2021-01-12 05:20:26.017970
26,TAEMIN,Never Gonna Dance Again : Act 1,91.238,0.61,-12.416666666666664,2021-01-12 05:20:26.017970
27,(G)I-DLE,덤디덤디 (DUMDi DUMDi),68.82,0.46,-12.416666666666664,2021-01-12 05:20:26.017970
28,Hwa Sa,María,53.765,0.36,-12.416666666666664,2021-01-12 05:20:26.017970
29,THE BOYZ,CHASE,49.951,0.33,-12.416666666666664,2021-01-12 05:20:26.017970
30,NCT,NCT RESONANCE Part 1,48.985,0.33,-12.416666666666664,2021-01-12 05:20:26.017970
31,CIX,"Hello, Strange Time",34.808,0.23,-12.416666666666664,2021-01-12 05:20:26.017970
32,SUPER JUNIOR-K.R.Y.,푸르게 빛나던 우리의 계절 (When We Were Us),33.658,0.22,-12.416666666666664,2021-01-12 05:20:26.017970
33,OH MY GIRL,NONSTOP,29.895,0.2,-12.416666666666664,2021-01-12 05:20:26.017970
34,LOONA,[#],27.869,0.19,-12.416666666666664,2021-01-12 05:20:26.017970
35,ITZY,IT'z ME,16.549,0.11,-12.416666666666664,2021-01-12 05:20:26.017970
36,EXO,EXO PLANET #5 –EXplOration– Live Album,12.907,0.09,-12.416666666666664,2021-01-12 05:20:26.017970
37,APRIL,Da Capo,11.259,0.08,-12.416666666666664,2021-01-12 05:20:26.017970
38,Apink,LOOK,8.673,0.06,-12.416666666666664,2021-01-12 05:20:26.017970
39,PENTAGON,WE:TH,7.62,0.05,-12.416666666666664,2021-01-12 05:20:26.017970
40,DAY6,The Book of Us : The Demon,5.343999999999999,0.04,-12.416666666666664,2021-01-12 05:20:26.017970
41,IU,에잇,3.865,0.03,-12.416666666666664,2021-01-12 05:20:26.017970
42,TAEYEON,Happy,2.583,0.02,-12.416666666666664,2021-01-12 05:20:26.017970
43,CHUNG HA,PLAY,1.3559999999999999,0.01,-12.416666666666664,2021-01-12 05:20:26.017970
44,ZICO,아무노래,0.9329999999999999,0.01,-12.416666666666664,2021-01-12 05:20:26.017970
